id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,oreb,pf,pts,reb,stl,turnover,game.id,game.date,game.home_team_id,game.home_team_score,game.period,game.postseason,game.season,game.status,game.time,game.visitor_team_id,game.visitor_team_score,player.id,player.first_name,player.height_feet,player.height_inches,player.last_name,player.position,player.team_id,player.weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name
167285,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5:12,0.0,1.0,0.0,1.0,0.0,0.0,7375,1996-12-25T00:00:00.000Z,24,87,4,False,1996,Final, ,14,108,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
167697,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6:07,0.0,0.0,0.0,1.0,1.0,1.0,6302,1996-12-10T00:00:00.000Z,26,90,4,False,1996,Final, ,14,92,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
168016,,,,,,,,,,,,,,,,,,,,6127,1996-12-11T00:00:00.000Z,14,79,4,False,1996,Final, ,12,76,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
168289,,,,,,,,,,,,,,,,,,,,6017,1996-12-13T00:00:00.000Z,14,120,4,False,1996,Final, ,25,119,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
168839,0.0,1.0,1.0,0.5,2.0,1.0,0.4,5.0,2.0,0.0,2.0,0.0,9:48,0.0,1.0,5.0,1.0,0.0,0.0,2751,1996-12-17T00:00:00.000Z,5,129,4,False,1996,Final, ,14,123,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
169116,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7:49,2.0,0.0,0.0,3.0,0.0,1.0,5846,1996-12-18T00:00:00.000Z,17,105,4,False,1996,Final, ,14,111,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
169605,0.0,1.0,1.0,0.5,2.0,1.0,0.667,3.0,2.0,0.0,0.0,0.0,11:38,0.0,2.0,5.0,1.0,0.0,3.0,5732,1996-12-21T00:00:00.000Z,18,103,4,False,1996,Final, ,14,88,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
170107,2.0,0.0,1.0,0.0,1.0,0.0,0.667,3.0,2.0,0.0,0.0,0.0,10:29,0.0,3.0,4.0,1.0,1.0,0.0,9401,1997-01-02T00:00:00.000Z,26,83,4,False,1996,Final, ,14,90,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
170478,,,,,,,,,,,,,,,,,,,,5853,1996-12-27T00:00:00.000Z,14,109,4,False,1996,Final, ,2,102,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
170773,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6:31,0.0,3.0,0.0,1.0,1.0,1.0,7475,1996-12-29T00:00:00.000Z,14,115,4,False,1996,Final, ,23,102,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
171283,0.0,0.0,0.0,0.0,2.0,0.0,0.167,6.0,1.0,0.0,0.0,0.0,5:34,0.0,1.0,2.0,0.0,1.0,0.0,1674,1997-01-14T00:00:00.000Z,14,91,4,False,1996,Final, ,15,81,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
171410,1.0,2.0,3.0,0.0,2.0,0.0,0.6,10.0,6.0,0.9,10.0,9.0,22:16,2.0,1.0,21.0,5.0,2.0,0.0,7911,1997-01-03T00:00:00.000Z,14,100,4,False,1996,Final, ,26,93,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
171805,3.0,0.0,2.0,1.0,1.0,1.0,0.667,9.0,6.0,0.75,4.0,3.0,28:48,3.0,3.0,16.0,5.0,1.0,2.0,7913,1997-01-05T00:00:00.000Z,15,82,4,False,1996,Final, ,14,95,1043,Kobe,,,Bryant,,14,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
